fpl_id,understat_id,fpl_name,position,team_name
508,,Samuel Edozie,M,Man City
509,,Tom Heaton,G,Man Utd
510,7281.0,José Diogo Dalot Teixeira,D,Man Utd
511,,Andreas Pereira,M,Man Utd
512,9524.0,Anthony Elanga,M,Man Utd
513,852.0,Freddie Woodman,G,Newcastle
514,,Mark Gillespie,G,Newcastle
515,9747.0,Bali Mumba,D,Norwich
516,7295.0,Joshua Sargent,F,Norwich
517,6894.0,Mohamed Elyounoussi,M,Southampton
518,8384.0,Armando Broja,F,Southampton
519,839.0,Shane Long,F,Southampton
520,9332.0,Dane Scarlett,F,Spurs
521,,Frederik Alves,D,West Ham
522,,Conor Coventry,M,West Ham
523,,Patrick Cutrone,F,Wolves
524,5786.0,Yoane Wissa,M,Brentford
525,4419.0,Adam Armstrong,F,Southampton
526,9356.0,Carney Chukwuemeka,M,Aston Villa
527,6615.0,Trevoh Chalobah,D,Chelsea
528,9746.0,Christos Tzolis,M,Norwich
529,594.0,Romelu Lukaku,F,Chelsea
530,9690.0,Folarin Balogun,F,Arsenal
531,6492.0,Reiss Nelson,M,Arsenal
532,,Karl Hein,G,Arsenal
533,,Lewis Richardson,F,Burnley
534,,Bobby Thomas,D,Burnley
535,,Andi Zeqiri,F,Brighton
536,,Michal Karbownik,D,Brighton
537,9735.0,Taylor Richards,M,Brighton
538,9453.0,Moisés Caicedo,M,Brighton
539,1245.0,Emerson Palmieri dos Santos,D,Chelsea
540,,Reece Hannam,D,Crystal Palace
541,9461.0,Jesurun Rak-Sakyi,M,Crystal Palace
542,,Robert Street,F,Crystal Palace
543,,Scott Banks,M,Crystal Palace
544,8476.0,Jarrad Branthwaite,D,Everton
545,,Nathan Broadhead,F,Everton
546,7280.0,Yan Valery,D,Southampton
547,8179.0,Luke Cundle,M,Wolves
548,9741.0,Chem Campbell,M,Wolves
549,,Christian Marques,D,Wolves
550,9493.0,Sam Greenwood,F,Leeds
551,9492.0,Crysencio Summerville,M,Leeds
552,1711.0,Adam Forshaw,M,Leeds
553,,Ben Woodburn,M,Liverpool
554,,Jamal Baptiste,D,West Ham
555,2245.0,Raphaël Varane,D,Man Utd
556,5191.0,Álvaro Fernández,G,Brentford
557,9957.0,Ozan Tufan,M,Watford
558,2517.0,Martin Ødegaard,M,Arsenal
559,5603.0,Aaron Ramsdale,G,Arsenal
560,,Haydon Roberts,D,Brighton
561,,Remi Matthews,G,Crystal Palace
562,9499.0,Cody Drameh,D,Leeds
563,9220.0,Charlie Cresswell,D,Leeds
564,1304.0,Moise Kean,F,Everton
565,,Owen Dodgson,D,Burnley
566,,Tommy Doyle,M,Man City
567,6252.0,Lyanco Evangelista Silveira Neves Vojnovic,D,Southampton
568,9912.0,Cameron Archer,F,Aston Villa
569,9916.0,Finley Stevens,D,Brentford
570,,Niels Nkounkou,D,Everton
571,,Andy Lonergan,G,Everton
572,,Arthur Okonkwo,G,Arsenal
573,,Eldin Jakupovic,G,Leicester
574,,Robert Elliot,G,Watford
575,593.0,Aaron Lennon,M,Burnley
576,9933.0,Liam McCarron,M,Leeds
577,9339.0,Joe Gelhardt,F,Leeds
578,3278.0,Maxwel Cornet,M,Burnley
579,2371.0,Cristiano Ronaldo dos Santos Aveiro,F,Man Utd
580,7376.0,Ozan Kabak,D,Norwich
581,7470.0,Mathias Normann,M,Norwich
582,6276.0,Nikola Vlasic,M,West Ham
583,8845.0,Hee-Chan Hwang,F,Wolves
584,7134.0,Marc Cucurella,D,Brighton
585,5568.0,Connor Roberts,D,Burnley
586,3697.0,Odsonne Edouard,F,Crystal Palace
587,5556.0,Ademola Lookman,M,Leicester
588,7430.0,Emerson Aparecido Leite de Souza Junior,D,Spurs
589,8017.0,Alex Kral,M,West Ham
590,7931.0,Takehiro Tomiyasu,D,Arsenal
591,813.0,Salomón Rondón,F,Everton
592,2266.0,Saúl Ñíguez,M,Chelsea
593,,Scott Carson,G,Man City
594,6030.0,Mathias Jorgensen,D,Brentford
595,6542.0,Jürgen Locadia,F,Brighton
596,,Viljami Sinisalo,G,Aston Villa
